page,chapter_title,text_line_start
1,"OVERVIEW",374
2,"THREADED INTERPRETIVE LANGUAGES",414
3,"OVERVIEW",466
4,"THREADED INTERPRETIVE LANGUAGES",519
5,"OVERVIEW",571
6,"THREADED INTERPRETIVE LANGUAGES",617
7,"OVERVIEW",670
8,"THREADED INTERPRETIVE LANGUAGES",723
9,"HOW A TIL WORKS",762
10,"THREADED INTERPRETIVE LANGUAGES",804
11,"HOW A TIL WORKS",856
12,"THREADED INTERPRETIVE LANGUAGES",907
13,"HOW A TIL WORKS",959
14,"THREADED INTERPRETIVE LANGUAGES",1028
15,"HOW A TIL WORKS",1080
17,"HOW A TIL WORKS",1134
18,"THREADED INTERPRETIVE LANGUAGES",1186
19,"HOW A TIL WORKS",1246
20,"THREADED INTERPRETIVE LANGUAGES",1315
21,"HOW A TIL WORKS",1383
22,"THREADED INTERPRETIVE LANGUAGES",1435
23,"HOW A TIL WORKS",1488
24,"THREADED INTERPRETIVE LANGUAGES",1541
25,"HOW A TIL WORKS",1601
26,"THREADED INTERPRETIVE LANGUAGES",1647
27,"HOW A TIL WORKS",1700
28,"THREADED INTERPRETIVE LANGUAGES",1710
29,"HUP, TWO, THREE, FOUR",1751
30,"THREADED INTERPRETIVE LANGUAGES",1810
31,"HUP, TWO, THREE, FOUR",1865
32,"THREADED INTERPRETIVE LANGUAGES",1922
33,"HUP, TWO, THREE, FOUR",1976
34,"THREADED INTERPRETIVE LANGUAGES",2073
35,"HUP, TWO, THREE, FOUR",2132
36,"THREADED INTERPRETIVE LANGUAGES",2192
37,"HUP, TWO, THREE, FOUR",2279
38,"THREADED INTERPRETIVE LANGUAGES",2331
39,"THE TOWER OF BABEL REVISITED",2373
40,"THREADED INTERPRETIVE LANGUAGES",2415
41,"THE TOWER OF BABEL REVISITED",2472
42,"THREADED INTERPRETIVE LANGUAGES",2524
43,"THE TOWER OF BABEL REVISITED",2578
44,"THREADED INTERPRETIVE LANGUAGES",2633
45,"THE TOWER OF BABEL REVISITED",2689
46,"THREADED INTERPRETIVE LANGUAGES",2740
47,"THE TOWER OF BABEL REVISITED",2794
48,"THREADED INTERPRETIVE LANGUAGES",2842
49,"THE TOWER OF BABEL REVISITED",2896
50,"THREADED INTERPRETIVE LANGUAGES",2950
51,"THE TOWER OF BABEL REVISITED",3003
52,"THREADED INTERPRETIVE LANGUAGES",3056
53,"THE TOWER OF BABEL REVISITED",3110
54,"THREADED INTERPRETIVE LANGUAGES",3165
55,"THE TOWER OF BABEL REVISITED",3219
56,"THREADED INTERPRETIVE LANGUAGES",3271
57,"THE TOWER OF BABEL REVISITED",3324
58,"THREADED INTERPRETIVE LANGUAGES",3377
59,"THE TOWER OF BABEL REVISITED",3430
60,"THREADED INTERPRETIVE LANGUAGES",3483
61,"THE TOWER OF BABEL REVISITED",3537
62,"THREADED INTERPRETIVE LANGUAGES",3593
63,"THE TOWER OF BABEL REVISITED",3647
64,"THREADED INTERPRETIVE LANGUAGES",3701
65,"THE TOWER OF BABEL REVISITED",3751
66,"THREADED INTERPRETIVE LANGUAGES",3800
67,"THE TOWER OF BABEL REVISITED",3852
68,"THREADED INTERPRETIVE LANGUAGES",3905
69,"THE TOWER OF BABEL REVISITED",3959
70,"THREADED INTERPRETIVE LANGUAGES",4012
71,"THE TOWER OF BABEL REVISITED",4065
72,"THREADED INTERPRETIVE LANGUAGES",4129
73,"THE TOWER OF BABEL REVISITED",4184
74,"THREADED INTERPRETIVE LANGUAGES",4217
75,"ROUTINES, ROUTINES, ROUTINES",4260
76,"THREADED INTERPRETIVE LANGUAGES",4312
77,"ROUTINES, ROUTINES, ROUTINES",4364
78,"THREADED INTERPRETIVE LANGUAGES",4418
79,"ROUTINES, ROUTINES, ROUTINES",4464
80,"THREADED INTERPRETIVE LANGUAGES",4481
81,"ROUTINES, ROUTINES, ROUTINES",4526
82,"THREADED INTERPRETIVE LANGUAGES",4576
83,"ROUTINES, ROUTINES, ROUTINES",4623
84,"THREADED INTERPRETIVE LANGUAGES",4668
85,"ROUTINES, ROUTINES, ROUTINES",4721
86,"THREADED INTERPRETIVE LANGUAGES",4778
87,"ROUTINES, ROUTINES, ROUTINES",4831
88,"THREADED INTERPRETIVE LANGUAGES",4883
89,"ROUTINES, ROUTINES, ROUTINES",4903
90,"THREADED INTERPRETIVE LANGUAGES",4954
91,"ROUTINES, ROUTINES, ROUTINES",4974
92,"THREADED INTERPRETIVE LANGUAGES",5026
93,"ROUTINES, ROUTINES, ROUTINES",5077
94,"THREADED INTERPRETIVE LANGUAGES",5103
95,"ROUTINES, ROUTINES, ROUTINES",5145
96,"THREADED INTERPRETIVE LANGUAGES",5146
97,"ROUTINES, ROUTINES, ROUTINES",5197
98,"THREADED INTERPRETIVE LANGUAGES",5251
99,"ROUTINES, ROUTINES, ROUTINES",5307
100,"THREADED INTERPRETIVE LANGUAGES",5361
101,"ROUTINES, ROUTINES, ROUTINES",5413
102,"THREADED INTERPRETIVE LANGUAGES",5468
103,"WORDS, WORDS, AND MORE WORDS",5499
104,"THREADED INTERPRETIVE LANGUAGES",5542
105,"WORDS, WORDS, AND MORE WORDS",5597
106,"THREADED INTERPRETIVE LANGUAGES",5648
107,"WORDS, WORDS, AND MORE WORDS",5702
108,"THREADED INTERPRETIVE LANGUAGES",5753
109,"WORDS, WORDS, AND MORE WORDS",5806
110,"THREADED INTERPRETIVE LANGUAGES",5856
111,"WORDS, WORDS, AND MORE WORDS",5909
112,"THREADED INTERPRETIVE LANGUAGES",5962
113,"WORDS, WORDS, AND MORE WORDS",6013
114,"THREADED INTERPRETIVE LANGUAGES",6066
115,"WORDS, WORDS, AND MORE WORDS",6114
116,"THREADED INTERPRETIVE LANGUAGES",6166
117,"WORDS, WORDS, AND MORE WORDS",6220
118,"THREADED INTERPRETIVE LANGUAGES",6273
119,"WORDS, WORDS, AND MORE WORDS",6322
120,"THREADED INTERPRETIVE LANGUAGES",6375
121,"WORDS, WORDS, AND MORE WORDS",6425
122,"THREADED INTERPRETIVE LANGUAGES",6476
123,"WORDS, WORDS, AND MORE WORDS",6526
124,"THREADED INTERPRETIVE LANGUAGES",6574
125,"WORDS, WORDS, AND MORE WORDS",6625
126,"THREADED INTERPRETIVE LANGUAGES",6680
127,"WORDS, WORDS, AND MORE WORDS",6735
128,"THREADED INTERPRETIVE LANGUAGES",6786
129,"WORDS, WORDS, AND MORE WORDS",6837
130,"THREADED INTERPRETIVE LANGUAGES",6889
131,"WORDS, WORDS, AND MORE WORDS",6943
132,"THREADED INTERPRETIVE LANGUAGES",6994
133,"WORDS, WORDS, AND MORE WORDS",7044
134,"THREADED INTERPRETIVE LANGUAGES",7092
135,"WORDS, WORDS, AND MORE WORDS",7145
136,"THREADED INTERPRETIVE LANGUAGES",7198
137,"WORDS, WORDS, AND MORE WORDS",7251
138,"THREADED INTERPRETIVE LANGUAGES",7305
139,"WORDS, WORDS, AND MORE WORDS",7353
140,"THREADED INTERPRETIVE LANGUAGES",7403
141,"WORDS, WORDS, AND MORE WORDS",7456
142,"THREADED INTERPRETIVE LANGUAGES",7508
143,"WORDS, WORDS, AND MORE WORDS",7561
144,"THREADED INTERPRETIVE LANGUAGES",7614
145,"WORDS, WORDS, AND MORE WORDS",7667
146,"THREADED INTERPRETIVE LANGUAGES",7713
147,"WORDS, WORDS, AND MORE WORDS",7765
148,"THREADED INTERPRETIVE LANGUAGES",7818
149,"WORDS, WORDS, AND MORE WORDS",7870
150,"THREADED INTERPRETIVE LANGUAGES",7921
151,"WORDS, WORDS, AND MORE WORDS",7975
152,"THREADED INTERPRETIVE LANGUAGES",8029
153,"WORDS, WORDS, AND MORE WORDS",8083
154,"THREADED INTERPRETIVE LANGUAGES",8136
155,"WORDS, WORDS, AND MORE WORDS",8189
156,"THREADED INTERPRETIVE LANGUAGES",8243
157,"WORDS, WORDS, AND MORE WORDS",8297
158,"THREADED INTERPRETIVE LANGUAGES",8350
159,"WORDS, WORDS, AND MORE WORDS",8403
160,"THREADED INTERPRETIVE LANGUAGES",8456
161,"WORDS, WORDS, AND MORE WORDS",8509
162,"THREADED INTERPRETIVE LANGUAGES",8559
163,"WORDS, WORDS, AND MORE WORDS",8612
164,"THREADED INTERPRETIVE LANGUAGES",8667
165,"WORDS, WORDS, AND MORE WORDS",8720
166,"THREADED INTERPRETIVE LANGUAGES",8772
167,"WORDS, WORDS, AND MORE WORDS",8826
168,"THREADED INTERPRETIVE LANGUAGES",8882
169,"WORDS, WORDS, AND MORE WORDS",8935
170,"THREADED INTERPRETIVE LANGUAGES",8989
171,"WORDS, WORDS, AND MORE WORDS",9042
172,"THREADED INTERPRETIVE LANGUAGES",9095
173,"WORDS, WORDS, AND MORE WORDS",9147
174,"THREADED INTERPRETIVE LANGUAGES",9200
175,"WORDS, WORDS, AND MORE WORDS",9251
176,"THREADED INTERPRETIVE LANGUAGES",9306
177,"WORDS, WORDS, AND MORE WORDS",9353
178,"THREADED INTERPRETIVE LANGUAGES",9409
179,"WORDS, WORDS, AND MORE WORDS",9458
180,"THREADED INTERPRETIVE LANGUAGES",9491
181,"EXTENSION PEEASE",9534
182,"THREADED INTERPRETIVE LANGUAGES",9586
183,"EXTENSION PLEASE",9640
184,"THREADED INTERPRETIVE LANGUAGES",9694
185,"EXTENSION PLEASE",9749
186,"THREADED INTERPRETIVE LANGUAGES",9803
187,"EXTENSION PLEASE",9855
188,"THREADED INTERPRETIVE LANGUAGES",9904
189,"EXTENSION PLEASE",9959
190,"THREADED INTERPRETIVE LANGUAGES",10013
191,"EXTENSION PLEASE",10067
192,"THREADED INTERPRETIVE LANGUAGES",10123
193,"EXTENSION PLEASE",10176
194,"THREADED INTERPRETIVE LANGUAGES",10228
195,"EXTENSION PLEASE",10287
196,"THREADED INTERPRETIVE LANGUAGES",10342
197,"EXTENSION PLEASE",10397
198,"THREADED INTERPRETIVE LANGUAGES",10451
199,"EXTENSION PLEASE",10505
200,"THREADED INTERPRETIVE LANGUAGES",10557
201,"EXTENSION PLEASE",10610
202,"THREADED INTERPRETIVE LANGUAGES",10663
203,"EXTENSION PLEASE",10715
204,"THREADED INTERPRETIVE LANGUAGES",10767
205,"EXTENSION PLEASE",10818
206,"THREADED INTERPRETIVE LANGUAGES",10874
207,"EXTENSION PLEASE",10928
208,"THREADED INTERPRETIVE LANGUAGES",10981
209,"EXTENSION PLEASE",11034
210,"THREADED INTERPRETIVE LANGUAGES",11083
211,"EXTENSION PLEASE",11136
212,"THREADED INTERPRETIVE LANGUAGES",11188
213,"EXTENSION PLEASE",11239
214,"THREADED INTERPRETIVE LANGUAGES",11292
215,"EXTENSION PLEASE",11343
216,"THREADED INTERPRETIVE LANGUAGES",11400
217,"EXTENSION PLEASE",11453
218,"THREADED INTERPRETIVE LANGUAGES",11506
219,"EXTENSION PLEASE",11559
220,"THREADED INTERPRETIVE LANGUAGES",11612
221,"EXTENSION PLEASE",11663
222,"THREADED INTERPRETIVE LANGUAGES",11715
223,"EXTENSION PLEASE",11768
224,"THREADED INTERPRETIVE LANGUAGES",11817
225,"EXTENSION PLEASE",11871
226,"THREADED INTERPRETIVE LANGUAGES",11915
227,"EXTENSION PLEASE",11967
228,"THREADED INTERPRETIVE LANGUAGES",12019
229,"EXTENSION PLEASE",12072
230,"THREADED INTERPRETIVE LANGUAGES",12127
231,"EXTENSION PLEASE",12188
232,"THREADED INTERPRETIVE LANGUAGES",12240
233,"EXTENSION PLEASE",12289
234,"THREADED INTERPRETIVE LANGUAGES",12303
235,"LIFE WITH A TIL",12345
236,"THREADED INTERPRETIVE LANGUAGES",12397
237,"LIFE WITH A TIL",12449
238,"THREADED INTERPRETIVE LANGUAGES",12501
239,"LIFE WITH A TIL",12554
240,"THREADED INTERPRETIVE LANGUAGES",12606
241,"LIFE WITH A TIL",12659
242,"THREADED INTERPRETIVE LANGUAGES",12711
243,"LIFE WITH A TIL",12763
244,"THREADED INTERPRETIVE LANGUAGES",12789
245,"BIBLIOGRAPHY AND NOTES",12829
246,"THREADED INTERPRETIVE LANGUAGES",12884
247,"BIBLIOGRAPHY AND NOTES",12935
248,"THREADED INTERPRETIVE LANGUAGES",12958
249,"SUBJECT INDEX",13002
250,"THREADED INTERPRETIVE LANGUAGES",13073
251,"SUBJECT INDEX",13124
